line,code,trunk,old_map,title
910,22000/6-D-3,22000,,Transponders
911,22000/6-D-4,22000,,Transmitters
912,22000/6-D-5,22000,,Topography
913,22000/6-D-6,22000,,VHF Radio
914,22000/6-D-7,22000,,GTR Code
915,22000/7,22000,,Foundational Biological Concepts
916,22000/7-A,22000,(new),Abiogenesis
917,22000/8,22000,,Ecological & Systemic Intelligence
918,22000/8-A,22000,(new),The Bees' Algorithm
921,23000/1,23000,(new),Guanahatabey Language
922,23000/2,23000,(new),Old Tartar
923,23000/3,23000,(new),Nuragic Language
924,23000/4,23000,(new),Jewish Babylonian Aramaic & Samaritan
925,23000/5,23000,(new),Hispano-Celtic & Romance Languages
926,23000/5-A,23000,(new),Navarro-Aragonese
927,23000/5-B,23000,(new),Andalusi Romance
930,24000/1,24000,(new),Formalogic Notation
931,24000/2,24000,(new),Theoretical Physics & Mathematics
932,24000/2-A,24000,(new),Ricci Calculus
933,24000/3,24000,(new),Notational Systems in Physics
934,24000/3-A,24000,(new),Bra-ket Notation
